Month,Sales
2021-01-01,266
2021-02-01,145.9
2021-03-01,183.1
2021-04-01,119.3
2021-05-01,180.3
2021-06-01,168.5
2021-07-01,231.8
2021-08-01,224.5
2021-09-01,192.8
2021-10-01,122.9
2021-11-01,336.5
2021-12-01,185.9
2022-01-01,194.3
2022-02-01,149.5
2022-03-01,210.1
2022-04-01,273.3
2022-05-01,191.4
2022-06-01,287
2022-07-01,226
2022-08-01,303.6
2022-09-01,289.9
2022-10-01,421.6
2022-11-01,264.5
2022-12-01,342.3
2023-01-01,339.7
2023-02-01,440.4
2023-03-01,315.9
2023-04-01,439.3
2023-05-01,401.3
2023-06-01,437.4
2023-07-01,575.5
2023-08-01,407.6
2023-09-01,682
2023-10-01,475.3
2023-11-01,581.3
2023-12-01,646.9
